colnames,new_col
ID,ID
ISFOUNDATION,ISFOUNDATION
NAME,NAME
ADDRESS,ADDRESS
SECTEUR INDUSTRIEL,SECTEUR INDUSTRIEL
LANGUE DE COMM,LANGUE
DDD,DDD
FAF,FAF
N DE TELCIE,N DE TEL
N DE TEL,N DE TEL
SITE WEB,SITE WEB
DOMAINE DINTERET,DOMAINES DINTERET
LIMITES GEOG,LIMITES GEOG
NOTE,NOTE
NOMBRE DEMPLOYES,NOMBRE DEMPLOYES
CONTRIBUTION,CONTRIBUTION
CONTACT,CONTACT
TEL,N DE TEL
POSTE,POSTE
COURRIEL,COURRIEL
AVIS,AVIS
N DE FAXCIE,FAX
2E N DE TEL,N DE TEL
COURRIEL  CIE,COURRIEL
FAX,FAX
2E CONTACT POUR,2E CONTACT POUR
FILIALE DE,FILIALE DE
DOMAINES DINTERET,DOMAINES DINTERET
PROJETS PRIVILEGIES,PROJETS PRIVILEGIES
NBRE DE SUCC,NBRE DE SUCC
PRINCIP FILIALES,PRINCIP FILIALES
WEB,SITE WEB
DATE FIN DANN,DATE FIN DANN
LIMITES GEOGRAPHIQUES,LIMITES GEOG
LANGUE,LANGUE
CATEGORIE,CATEGORIE
TELEC,N DE TEL
TOTAL ANNUEL,TOTAL ANNUEL
DATE APPROB,DATE APPROB
ECHELLEDONS,ECHELLEDONS
ACTIF,ACTIF
PRINCIP FILIALES,PRINCIP FILIALES
PRINCIPALE FILIALE,PRINCIP FILIALES
FILIALES PRINCIP,PRINCIP FILIALES
PRINCIPALES FILIALES,PRINCIP FILIALES
TOTAL ACTIF,ACTIF
PRINCIPFILIALES,PRINCIP FILIALES
OU,OU
